Id,Label,Component ID,Degré Entrant,Degré Sortant,Degré,Weighted Degree,Weighted In-Degree,Weighted Out-Degree,Eccentricity,Closeness Centrality,Betweenness Centrality,Modularity Class,PageRank,Eigenvector Centrality
25,senior consultant,0,100,15,115,13490.0,8839.0,4651.0,11.0,4.608548931383577,12215.349314395085,0,0.004360744348098298,0.41806902878550645
26,team lead,0,34,15,49,3877.0,1721.0,2156.0,11.0,4.5545556805399325,4370.132309311372,0,0.0012652422487391673,0.10312014972034161
27,senior developer,0,38,14,52,5013.0,2599.0,2414.0,12.0,4.717660292463442,1863.747296823616,0,0.0015859550016043432,0.12013606126897908
28,software consultant,0,11,15,26,1821.0,713.0,1108.0,12.0,4.8515185601799775,3884.1909257789102,0,8.094269583295437E-4,0.05974861205975225
29,senior engineer,0,47,15,62,3581.0,1899.0,1682.0,11.0,4.27896512935883,10633.030719741972,5,0.00165051904059844,0.06461901167659799
30,project engineer,0,91,14,105,9871.0,6507.0,3364.0,12.0,4.313835770528684,74060.405308274,5,0.004384642930096187,0.19107746050962982
31,design engineer,0,48,15,63,4352.0,2466.0,1886.0,12.0,4.408323959505062,24414.056873004552,5,0.0020921419763688612,0.07210865599319248
32,electrical engineer,0,23,13,36,1599.0,713.0,886.0,12.0,4.320584926884139,13560.463173883229,5,0.001050304587008886,0.035544509218306514
33,manager,0,416,15,431,51388.0,33044.0,18344.0,11.0,4.536557930258717,65035.52265839432,5,0.013171784555220917,0.9177287801388433
34,mechanical engineer,0,31,13,44,3235.0,1580.0,1655.0,12.0,4.409448818897638,7412.313817732423,5,0.0015359386362481953,0.052250114852566615
35,chief engineer,0,13,13,26,1108.0,486.0,622.0,11.0,4.483689538807649,3823.647659226662,5,9.892196983842566E-4,0.014344635107467278
36,assistant manager,0,271,15,286,31930.0,22389.0,9541.0,10.0,4.797525309336333,20249.080220937027,8,0.009791302259636698,0.7993386249147725
37,dental assistant,0,2,10,12,429.0,18.0,411.0,11.0,5.122609673790776,4.794444444444444,2,4.4915341297635774E-4,0.0011215211517611081
38,associate dentist,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
39,dental hygienist,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
40,orthodontist,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
41,general dentist,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
42,prosthodontist,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
43,owner,0,181,15,196,19496.0,12400.0,7096.0,10.0,4.560179977502812,20569.76589567214,8,0.006034425143193309,0.6039863914121025
44,student dentist,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
45,dental,3,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
46,dentist part time,4,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
47,lead dentist,5,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
48,volunteer,0,96,15,111,11227.0,5764.0,5463.0,11.0,4.865016872890888,15633.993676692584,1,0.0029895646950470196,0.23632140804698312
49,denitst,6,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
50,external rotation,7,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
51,transcriptionist,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
52,chairman,0,1,13,14,316.0,20.0,296.0,11.0,4.601799775028121,2121.1546617606436,5,4.626289816454224E-4,7.286335371314639E-4
53,instructor,0,55,15,70,4178.0,2025.0,2153.0,11.0,4.547806524184477,8835.798506884918,1,0.0015495916005152381,0.07090367202472057
54,director,0,275,15,290,56307.0,34079.0,22228.0,11.0,4.736782902137233,34697.63786517581,5,0.01355251740455862,0.7324595256026224
55,medical director,0,3,8,11,244.0,61.0,183.0,12.0,4.834645669291339,3369.0156371488147,1,4.887781715811598E-4,0.0024151842826899625
56,associate medical director,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
57,clinical research intern,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
58,physician medical director,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
59,registered nurse,0,34,14,48,4344.0,2801.0,1543.0,12.0,5.222722159730034,23185.681369486265,9,0.0026550011956750644,0.0541028370815479
60,vice chairman,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
61,assistant medical director,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
62,clinical physician,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
63,field writer,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
64,monitor technician and unit secretary,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
65,technical writer,0,29,13,42,6039.0,2359.0,3680.0,12.0,4.537682789651294,43293.65845723472,1,0.0020076312721885895,0.05816936890384083
66,associate editor,0,14,15,29,806.0,431.0,375.0,12.0,5.032620922384702,290.0714710137683,1,8.279471439357892E-4,0.021548353720010238
67,editor in chief,0,6,13,19,437.0,153.0,284.0,11.0,4.753655793025872,2556.527363758757,1,5.387549167620595E-4,0.011396639987586466
68,senior technical writer,0,11,9,20,3082.0,1983.0,1099.0,12.0,4.735658042744657,1774.7465794244488,1,0.0012655340948402676,0.013472229992459709
69,cashier,0,231,15,246,38732.0,25160.0,13572.0,11.0,4.758155230596175,46416.748182594296,2,0.011172669052422094,0.6112864400042302
70,legal assistant,0,27,15,42,8476.0,3852.0,4624.0,11.0,4.934758155230596,4694.073101952231,2,0.0017491048467165422,0.12466756440531429
71,office assistant,0,95,15,110,12844.0,7109.0,5735.0,11.0,4.728908886389202,8248.050235271743,2,0.0033427573961445425,0.38629637362970715
72,assistant to the,0,0,15,15,614.0,0.0,614.0,11.0,4.825842696629214,0.0,2,4.3591979192571516E-4,0.0
73,legal consultant,0,0,12,12,171.0,0.0,171.0,13.0,5.625836680053547,0.0,1,7.473841833415897E-5,0.0
74,legal counsel,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
75,course coordinator,8,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
76,consultant architect,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
77,project architect,0,2,7,9,279.0,61.0,218.0,11.0,4.553430821147357,70.31644798501232,5,4.694714149226369E-4,0.0012453264185682703
78,designer,0,30,14,44,2759.0,1101.0,1658.0,12.0,4.483689538807649,12894.287420610784,7,0.0014611230201724689,0.03663342489910245
79,team member,0,14,15,29,2176.0,654.0,1522.0,11.0,4.462317210348706,5129.77090556648,2,6.88319472204191E-4,0.020844072328440575
80,senior java jee developer,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
81,technical lead,0,32,15,47,3012.0,1276.0,1736.0,12.0,4.71541057367829,2765.93443454986,0,0.001074575230464789,0.05556791604325736
82,consultant developer,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
83,associate professor,0,3,15,18,696.0,183.0,513.0,11.0,4.703037120359955,3832.455812168762,1,5.446696620975437E-4,0.0035375864647897637
84,lecturer,0,14,15,29,1303.0,565.0,738.0,11.0,4.543307086614173,4667.548596127864,1,6.796568148164084E-4,0.02745354989210371
85,teaching assistant,0,48,15,63,8793.0,4720.0,4073.0,11.0,4.452193475815523,13645.138674138007,1,0.002676963955208004,0.11800683978127749
86,research associate,0,23,15,38,2980.0,1436.0,1544.0,12.0,4.640044994375703,13829.692358163804,1,0.0012351363097617397,0.04708602875753279
87,adjunct professor,0,12,15,27,1794.0,443.0,1351.0,11.0,4.619797525309337,1054.2616290334342,5,6.783968247185327E-4,0.01918385969648659
88,adjunct faculty,0,4,15,19,670.0,104.0,566.0,11.0,4.56917885264342,2319.9099323430637,1,5.020177946329247E-4,0.005576625875833732
89,graduate research assistant,0,26,15,41,3152.0,1529.0,1623.0,12.0,4.6299212598425195,11193.466433142616,1,0.0011815895438323464,0.051615885153514895
90,adjunct instructor,0,5,15,20,947.0,238.0,709.0,11.0,4.544431946006749,347.8216690034183,1,5.535583722072566E-4,0.0101796119339239
91,teacher,0,27,15,42,3665.0,1240.0,2425.0,11.0,4.758155230596175,4985.151518601744,1,8.988934061867458E-4,0.03377454320341078
92,visiting assistant professor,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
93,co creator,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
94,graphic designer,0,18,14,32,4990.0,2244.0,2746.0,11.0,4.6580427446569175,2985.468381439558,7,0.0018638072561192516,0.024192295313624042
95,art director,0,19,13,32,4594.0,2298.0,2296.0,12.0,4.844769403824522,2692.0454081934813,7,0.0017650611219231932,0.025202631559419836
96,talent manager,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
97,art teacher,0,2,12,14,140.0,21.0,119.0,12.0,5.069658405894173,2759.4961675060567,1,1.0042571007031203E-4,0.0
98,creator,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
99,guest artist,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
100,graphic artist,0,9,11,20,798.0,362.0,436.0,11.0,4.69066366704162,1032.86034032077,7,6.180946724496551E-4,0.01279430348623801
101,storyboard artist,0,2,2,4,42.0,19.0,23.0,13.0,5.824514400535834,9.501614815205079,3,9.667650934926874E-5,0.0
102,creative director,0,16,14,30,2484.0,939.0,1545.0,11.0,4.597300337457818,2889.0278714564124,7,0.0010528422738265908,0.02065338761700545
103,sales associate,0,341,15,356,49923.0,34626.0,15297.0,11.0,4.785151856017998,58023.21915303374,2,0.01513176578885356,0.9143874223567048
104,project geologist,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
105,exploration geologist,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
106,vice president of operations,0,1,14,15,906.0,144.0,762.0,11.0,4.611923509561305,179.83862571229812,8,4.649639364001119E-4,0.0037917686827015477
107,research geologist,9,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
108,mud logger,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
109,associate geologist,10,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
110,technician geologist,11,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
111,customer service representative,0,275,15,290,24161.0,16431.0,7730.0,11.0,4.898762654668166,15618.579608721066,2,0.008085337631624365,0.6626812147591012
112,technical manager,0,3,14,17,638.0,28.0,610.0,11.0,4.55793025871766,554.1444447672731,0,4.612837352586047E-4,0.0017727951677800802
113,senior recruiter,0,10,14,24,1897.0,961.0,936.0,11.0,4.709786276715411,2924.130542773466,4,9.692051411394255E-4,0.012690123142770009
114,technical recruiter,0,10,14,24,1497.0,679.0,818.0,11.0,4.691788526434196,1679.549533848715,4,8.06127419232755E-4,0.012119909091122153
115,senior technical recruiter,0,8,11,19,1553.0,958.0,595.0,11.0,4.718785151856018,1226.5728321753456,4,9.695242676982431E-4,0.010701721188158635
116,corporate recruiter,0,9,15,24,952.0,462.0,490.0,11.0,4.681664791901013,7525.715157421362,4,6.802050676031798E-4,0.011179208261755651
117,recruiting manager,0,8,14,22,1012.0,453.0,559.0,11.0,4.870641169853768,1479.5065808548516,4,6.914813249342703E-4,0.010701721188158635
118,account executive,0,179,15,194,25508.0,17042.0,8466.0,11.0,5.0956130483689535,20537.29196200054,3,0.007195338189193094,0.41684574545232533
119,administrative assistant,0,384,15,399,66173.0,44252.0,21921.0,11.0,4.863892013498313,50415.037899716386,2,0.019133326784522616,0.8813869863404612
120,human resources manager,0,33,15,48,5880.0,3037.0,2843.0,11.0,4.986501687289089,19505.926436229896,4,0.0021306189645984726,0.03804201522962614
121,account manager,0,157,15,172,18421.0,11426.0,6995.0,11.0,4.66029246344207,17611.857145837945,3,0.00505829640966899,0.3431346224918838
122,human resources generalist,0,23,14,37,2812.0,1419.0,1393.0,11.0,4.959505061867267,11810.18476989803,4,0.0012094469977846527,0.02934447858773119
123,it recruiter,0,3,12,15,226.0,123.0,103.0,11.0,5.163429336905559,4464.313789222735,5,1.335161439003123E-4,0.0
124,office manager,0,232,15,247,26889.0,17863.0,9026.0,11.0,4.681664791901013,43067.944929312456,2,0.00799161897697116,0.5598683996535077
125,branch manager,0,47,15,62,4648.0,2084.0,2564.0,11.0,4.995500562429696,10330.87575363746,3,0.0013380174775626265,0.06950460382197675
126,law clerk,0,20,15,35,7374.0,3631.0,3743.0,12.0,5.150731158605175,5730.623657079085,1,0.0018661533860450774,0.09836120047201366
127,attorney,0,14,15,29,4700.0,1748.0,2952.0,12.0,4.741282339707537,1265.7031840062893,1,9.409510375622622E-4,0.033504917321359295
128,associate,0,30,15,45,6680.0,2950.0,3730.0,11.0,4.604049493813274,6975.220148455523,1,0.001546284500852688,0.09372223880161536
129,associate attorney,0,13,11,24,2612.0,1708.0,904.0,12.0,5.080989876265467,1591.0578489470267,1,0.0011324047714993456,0.02327782139669782
130,judicial intern,0,5,12,17,1151.0,363.0,788.0,12.0,5.222722159730034,7.354439533795568,1,5.489482133784619E-4,0.013731932486237634
131,contract attorney,0,12,6,18,1172.0,981.0,191.0,12.0,5.420697412823397,541.474088257929,1,8.372811683675489E-4,0.02690431902497256
132,student attorney,0,6,12,18,1004.0,455.0,549.0,12.0,5.177727784026996,16.864061317138027,1,5.648298036363735E-4,0.015628903465023113
133,summer associate,0,10,13,23,1572.0,724.0,848.0,12.0,4.959505061867267,427.62512989605005,1,6.44822802087499E-4,0.024057491210208868
134,legal extern,0,4,15,19,411.0,124.0,287.0,13.0,5.639651707970529,2644.0315604684542,1,3.6126732554433235E-4,0.0
135,paralegal,0,18,12,30,4792.0,1809.0,2983.0,12.0,5.0798650168728905,2035.412158564674,2,9.742886337452858E-4,0.04110991632663412
136,volunteer attorney,0,4,9,13,309.0,150.0,159.0,12.0,5.2294713160854895,28.45921076520627,1,4.968929541500611E-4,0.012689192083013001
137,staff attorney,0,9,11,20,807.0,466.0,341.0,12.0,5.106861642294713,763.5905112726027,1,7.145524674657921E-4,0.01936686532969893
138,marketing intern,0,28,14,42,3326.0,1634.0,1692.0,12.0,4.808773903262092,8970.283573982797,1,0.001285169830876408,0.07032125263022047
139,communications intern,0,1,11,12,208.0,33.0,175.0,11.0,4.7390326209223845,127.34620162130753,1,4.537641226995187E-4,9.476735232556461E-4
140,social media intern,0,3,15,18,334.0,107.0,227.0,12.0,5.36972538513061,15632.06399324504,1,2.0135692368637416E-4,0.0
141,marketing assistant,0,11,15,26,1950.0,618.0,1332.0,11.0,4.884139482564679,688.4903904991086,3,6.643082460479447E-4,0.0160978516169344
142,public relations assistant,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
143,account coordinator,0,2,14,16,751.0,44.0,707.0,11.0,4.669291338582677,210.41295993101647,3,4.554802774777738E-4,0.0028849102168155374
144,vice president,0,195,15,210,41674.0,25596.0,16078.0,11.0,4.677165354330708,25637.57895527073,5,0.009055197673723732,0.644515056534908
145,public relations coordinator,0,2,12,14,133.0,29.0,104.0,12.0,5.322839919624916,16277.969777567778,1,9.771969269891005E-5,0.0
146,editorial intern,0,14,15,29,788.0,323.0,465.0,11.0,4.800899887514061,1929.016709263347,1,7.294963367217803E-4,0.020875780005437872
147,receptionist,0,173,15,188,26265.0,16489.0,9776.0,11.0,4.7637795275590555,24238.643001081877,2,0.007198816056537046,0.49483140656641017
148,principal software engineer,0,3,15,18,858.0,290.0,568.0,12.0,4.530933633295838,2305.3330808424616,0,6.356311245097209E-4,0.018465754350434637
149,senior programmer,0,31,14,45,4089.0,2474.0,1615.0,12.0,4.753655793025872,377.35774937524565,0,0.0017690683998875347,0.10332591657567826
150,senior software developer,0,15,14,29,2285.0,1047.0,1238.0,12.0,4.910011248593926,2870.8888841200737,0,9.431881211135394E-4,0.035805395960339034
151,duration,0,17,13,30,1873.0,800.0,1073.0,12.0,4.679415073115861,31462.026227776845,0,0.0010022944152997286,0.03144089886818233
152,lead software engineer,0,3,13,16,627.0,238.0,389.0,12.0,4.579302587176603,3250.1635440372115,0,5.961581017629739E-4,0.018465754350434637
153,java developer,0,5,12,17,1336.0,273.0,1063.0,12.0,5.100112485939258,1777.5598208073327,0,5.879795841862601E-4,0.014783218884709895
154,contractor,0,138,15,153,8594.0,4439.0,4155.0,11.0,4.389201349831271,43391.36475113259,0,0.0036069429035796956,0.24335999233762254
155,systems analyst,0,55,15,70,5073.0,2447.0,2626.0,12.0,4.611923509561305,5033.043929575834,0,0.0016132687651377036,0.13075608211185924
156,senior programmer analyst,0,20,14,34,3199.0,1839.0,1360.0,12.0,4.737907761529809,4578.248893055001,0,0.0013553651822296022,0.10943069091530831
157,analyst,0,19,14,33,3278.0,903.0,2375.0,12.0,4.505061867266591,3248.8624409909494,0,9.543882203146692E-4,0.03732712086972909
158,business analyst,0,93,15,108,14584.0,8094.0,6490.0,12.0,4.419572553430821,44223.23884867132,0,0.004093382631619539,0.31056450870745106
159,computer operator,0,14,14,28,899.0,435.0,464.0,11.0,4.546681664791901,16792.10950590199,0,7.967830996588197E-4,0.033012694705093985
160,lead programmer,0,1,15,16,365.0,125.0,240.0,12.0,4.59392575928009,4120.814875616177,0,5.056993790626119E-4,0.018422275230023582
161,controller,0,49,15,64,14027.0,6738.0,7289.0,11.0,4.9235095613048365,28875.80629697376,6,0.0026288052779565797,0.13120990360326928
162,program manager,0,77,15,92,14522.0,7730.0,6792.0,11.0,4.379077615298088,22122.30521899132,5,0.003907013845891346,0.3045408504883513
163,system analyst,0,13,15,28,1855.0,408.0,1447.0,12.0,4.716535433070866,5019.35601627493,0,6.515925972884054E-4,0.03254287818676674
164,senior systems analyst,0,18,15,33,2318.0,892.0,1426.0,12.0,4.613048368953881,1093.4638320859715,0,8.873786714649762E-4,0.048146312666461355
165,senior web developer,0,2,13,15,583.0,172.0,411.0,12.0,4.811023622047244,2025.606740031011,0,4.890783632781935E-4,0.004493594747061412
166,web designer,0,9,12,21,971.0,437.0,534.0,12.0,4.6141732283464565,10407.697951901371,7,6.187348381945707E-4,0.017221086682125804
167,front end web developer,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
168,application developer,0,10,15,25,1221.0,312.0,909.0,12.0,4.764904386951631,6191.216820567409,0,5.776057340400661E-4,0.012164449531549364
169,systems architect,0,4,14,18,266.0,94.0,172.0,11.0,5.16543871399866,3208.957064248522,0,1.9718831014990215E-4,0.0
170,senior project manager,0,55,15,70,13422.0,8155.0,5267.0,11.0,4.536557930258717,9212.582585450193,5,0.004004166697094059,0.2067045689003867
171,project coordinator,0,29,15,44,4908.0,2127.0,2781.0,11.0,4.275590551181103,21182.81749448938,5,0.0014661053726994955,0.1127966687337893
172,senior business analyst,0,27,15,42,6526.0,3612.0,2914.0,11.0,4.724409448818897,7506.917628565856,0,0.0019655848705836063,0.12281447747865219
173,construction manager,0,18,13,31,3347.0,1583.0,1764.0,11.0,4.467941507311586,30048.214356751218,5,0.0013203497164007358,0.07811690903263953
174,operations manager,0,116,15,131,15302.0,9768.0,5534.0,10.0,4.519685039370079,57174.216441469456,8,0.004706352685360578,0.4236176644352756
175,lead developer,0,6,15,21,963.0,276.0,687.0,12.0,4.816647919010124,665.7879607474978,0,5.312011271935435E-4,0.014599023368903888
176,server,0,65,15,80,10863.0,5974.0,4889.0,11.0,4.858267716535433,5000.030333715139,2,0.0027955361833339343,0.2888608199206955
177,research intern,0,8,15,23,1371.0,565.0,806.0,11.0,4.478065241844769,3321.913941278369,1,6.742992487890259E-4,0.03078662440884431
178,graduate assistant,0,9,15,24,1729.0,493.0,1236.0,11.0,4.475815523059618,4445.546347896631,1,6.498953024181141E-4,0.03137666983793019
179,president,0,68,15,83,10162.0,3863.0,6299.0,11.0,4.620922384701912,9302.942208065726,5,0.0017995009980189905,0.16658523935029712
180,tutor,0,26,15,41,3739.0,1324.0,2415.0,12.0,4.799775028121485,6949.40518425788,1,9.364611564729824E-4,0.061099593306089696
181,senior systems engineer,0,20,15,35,2398.0,1098.0,1300.0,11.0,4.476940382452193,1983.9213697916568,0,9.69115221523862E-4,0.0309530853977624
182,network engineer,0,31,14,45,3601.0,1651.0,1950.0,12.0,4.611923509561305,6860.910489205448,0,0.0014515998139890108,0.048500101312102396
183,systems administrator,0,40,15,55,3110.0,1596.0,1514.0,12.0,4.653543307086614,6750.896902573825,0,0.0014243439089403533,0.06503687184352641
184,network administrator,0,38,14,52,3574.0,2006.0,1568.0,12.0,4.622047244094488,3148.4432493354434,0,0.0016891529959380308,0.058348867232899136
185,system administrator,0,35,15,50,2399.0,1266.0,1133.0,12.0,4.669291338582677,12596.220323239633,0,0.0013604706489550539,0.04885318081039354
186,test engineer,0,38,14,52,3499.0,1659.0,1840.0,13.0,4.809898762654668,17147.210164730008,10,0.0014739192183912228,0.0515338628344044
187,senior manager,0,72,15,87,14025.0,8232.0,5793.0,11.0,4.541057367829022,7937.050675886115,5,0.003206534135388116,0.24371638221515782
188,principal consultant,0,3,15,18,1486.0,207.0,1279.0,11.0,4.577052868391451,117.61447292600532,5,5.292907684691917E-4,0.020676574854009127
189,independent consultant,0,15,15,30,2982.0,465.0,2517.0,11.0,4.528683914510686,1433.0706531103765,5,7.150657179274666E-4,0.039492210217262146
190,project lead,0,14,15,29,1838.0,362.0,1476.0,12.0,4.681664791901013,268.4493725804867,0,6.312739134941018E-4,0.020051226400447326
191,role developer,0,2,11,13,230.0,74.0,156.0,11.0,5.379102478231748,20997.507362134747,0,2.713370599560653E-4,0.0
192,senior software consultant,0,1,15,16,418.0,32.0,386.0,12.0,4.877390326209224,9.05498792143529,0,4.476082680539621E-4,0.0031566199486934912
193,principal engineer,0,6,14,20,1035.0,232.0,803.0,12.0,4.476940382452193,2255.2686025800617,5,5.823164264266258E-4,0.009582667511322852
194,lead engineer,0,7,14,21,970.0,238.0,732.0,12.0,4.415073115860517,10289.45031951568,0,6.103142192279924E-4,0.013394514325998261
195,senior design engineer,0,12,14,26,952.0,530.0,422.0,12.0,4.49718785151856,1033.7241693089086,5,7.644069117955153E-4,0.019189046159907033
196,site engineer,0,16,13,29,1270.0,706.0,564.0,11.0,4.424071991001125,7707.646164005299,5,9.935009105308968E-4,0.030900381674299635
197,senior project engineer,0,12,15,27,1380.0,626.0,754.0,11.0,4.422947131608549,2395.8612950327943,5,8.562110860414326E-4,0.03081298915284065
198,field engineer,0,26,14,40,1756.0,871.0,885.0,11.0,4.262092238470191,25974.53423463416,5,0.0011496649227150195,0.04371138506872682
199,manufacturing engineer,0,31,15,46,2865.0,1506.0,1359.0,12.0,4.418447694038245,19755.868294998472,5,0.0014884982178402118,0.05800997923761288
200,task manager,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
201,process engineer,0,16,15,31,1632.0,694.0,938.0,12.0,4.322834645669292,8642.958298792593,5,9.219145876614776E-4,0.03165584055918541
202,civil engineer,0,5,8,13,564.0,250.0,314.0,12.0,4.723284589426322,2350.334331388199,5,6.616844080324769E-4,0.015234689504785308
203,mechanical designer,0,18,13,31,2303.0,1183.0,1120.0,12.0,4.591676040494938,11016.791226486888,5,0.001481002763360413,0.027586488093710365
204,senior designer,0,20,12,32,2468.0,1418.0,1050.0,12.0,4.707536557930259,9204.875917391753,7,0.0013935034526943908,0.031712308810287394
205,mechanical design engineer,0,8,12,20,1521.0,723.0,798.0,12.0,4.476940382452193,659.8562937548157,5,8.808813473184453E-4,0.01836529821099364
206,product engineer,0,8,13,21,685.0,232.0,453.0,11.0,4.3453318335208095,1745.5495290567342,5,5.822731363481662E-4,0.01828519484251894
207,senior electrical engineer,0,4,10,14,611.0,260.0,351.0,12.0,4.464566929133858,172.2689854639142,5,5.998333384252833E-4,0.0051144970756533655
