Company	Job	Number of reviews	Overall_Software	Culture & Values_Software	Work/Life Balance_Software	Senior Management_Software	Comp & Benefits_Software	Career Opportunities_Software	
Garmin	Software+Engineer	343	3.7	3.8	3.8	3.3	3.3	3.7	3.0
PayPal	Software+Engineer	1258	3.5	3.5	3.6	2.9	2.9	3.8	3.3
Bloomberg L.P.	Software+Engineer	1547	3.7	3.7	3.6	3.1	3.1	3.8	3.3
National Instruments	Software+Engineer	135	3.2	3.8	4.1	3.2	3.2	2.3	3.3
Sun Microsystems	Software+Engineer	133	3.9	3.9	4.4	2.4	2.4	3.7	3.3
FactSet	Software+Engineer	650	3.6	3.9	4.1	3.2	3.2	3.3	3.2
Fidelity Investments	Software+Engineer	176	3.6	3.7	4.0	3.0	3.0	3.7	3.2
NVIDIA	Software+Engineer	917	3.8	3.8	3.4	3.4	3.4	3.7	3.6
Harris	Software+Engineer	112	2.6	2.4	3.2	2.0	2.0	2.2	2.5
Uber	Software+Engineer	102	4.9	4.7	3.8	4.7	4.7	4.6	4.9
Expedia	Software+Engineer	132	4.2	4.0	4.4	3.8	3.8	3.8	3.9
Nokia	Software+Engineer	386	3.7	3.9	4.2	2.8	2.8	3.5	3.2
Rockwell Collins	Software+Engineer	127	2.9	3.0	3.5	2.2	2.2	2.7	2.6
Electronic Arts	Software+Engineer	1020	3.6	3.6	3.5	3.2	3.2	3.7	3.3
Dell	Software+Engineer	203	3.2	3.4	3.7	3.0	3.0	3.4	3.1
Citrix Systems	Software+Engineer	1249	3.5	3.7	3.7	2.9	2.9	3.7	3.2
General Dynamics Mission Systems	Software+Engineer	669	3.0	2.8	3.4	2.3	2.3	3.2	2.7
CA Technologies	Software+Engineer	1497	3.2	3.3	3.7	2.7	2.7	3.6	2.9
Twitter	Software+Engineer	348	4.0	4.0	4.0	3.6	3.6	4.2	3.8
NetApp	Software+Engineer	1593	3.5	3.9	4.0	3.0	3.0	3.6	3.2
Juniper Networks	Software+Engineer	1140	3.7	3.6	3.8	3.1	3.1	3.9	3.4
LinkedIn	Software+Engineer	1087	4.4	4.5	4.1	4.1	4.1	4.3	4.1
Tata Consultancy Services	Software+Engineer	833	3.3	3.4	3.4	2.7	2.7	2.8	3.2
Motorola Solutions	Software+Engineer	889	3.1	3.1	3.5	2.5	2.5	3.4	2.8
SAIC	Software+Engineer	86	3.2	3.3	4.2	3.0	3.0	3.0	3.6
Interactive Intelligence	Software+Engineer	539	4.2	4.3	4.0	3.7	3.7	3.9	3.9
Ericsson-Worldwide	Software+Engineer	3095	3.6	3.7	3.6	3.0	3.0	3.4	3.4
Broadcom	Software+Engineer	1185	3.6	3.4	3.3	2.9	2.9	3.6	3.3
MathWorks	Software+Engineer	480	3.9	4.1	4.2	3.6	3.6	3.4	3.4
Zynga	Software+Engineer	467	3.2	3.0	3.0	2.3	2.3	3.8	3.2
Guidewire	Software+Engineer	397	4.5	4.6	4.4	4.3	4.3	4.2	4.3
Infosys	Software+Engineer	1046	3.3	3.8	3.4	2.9	2.9	2.6	3.2
BAE Systems USA	Software+Engineer	1040	3.3	3.2	3.5	2.8	2.8	3.3	3.0
Computer Sciences Corp	Software+Engineer	352	2.8	3.0	3.3	2.4	2.4	2.5	2.8
AOL	Software+Engineer	90	3.7	4.0	4.2	3.3	3.3	3.9	3.5
Wipro	Software+Engineer	808	3.3	3.4	3.2	2.7	2.7	2.7	3.3
Verizon	Software+Engineer	159	3.2	3.2	3.3	2.7	2.7	3.4	2.9
GE Healthcare	Software+Engineer	1248	3.4	3.4	3.2	2.9	2.9	3.4	3.3
L-3 Communications	Software+Engineer	62	3.5	3.4	3.7	3.1	3.1	3.4	3.3
Texas Instruments	Software+Engineer	1413	3.9	3.9	3.7	3.3	3.3	3.9	3.6
Insight Global	Software+Engineer	24	5.0	4.7	4.8	4.9	4.9	4.2	4.7
Honeywell	Software+Engineer	164	3.1	3.0	3.1	2.5	2.5	2.6	3.0
International Game Technology	Software+Engineer	396	3.0	2.8	3.3	2.3	2.3	3.2	2.7
Avaya	Software+Engineer	149	3.0	3.2	3.4	2.3	2.3	3.1	2.6
HCL Technologies	Software+Engineer	879	3.0	3.0	3.4	2.5	2.5	2.2	3.0
F5 Networks	Software+Engineer	343	4.1	4.1	4.0	3.7	3.7	4.3	3.7
Alcatel-Lucent	Software+Engineer	1833	3.3	3.3	3.7	2.7	2.7	3.0	2.8
Brocade Communications	Software+Engineer	471	3.6	3.6	3.6	3.2	3.2	3.8	3.3
GE	Software+Engineer	94	3.4	3.6	3.3	2.9	2.9	3.2	3.3
Xerox	Software+Engineer	72	2.9	3.1	3.8	2.6	2.6	2.7	2.4
Netflix	Software+Engineer	506	3.8	3.9	3.3	3.5	3.5	4.3	3.4
Orbitz Worldwide	Software+Engineer	472	4.2	4.5	4.4	4.0	4.0	3.8	3.8
Akamai	Software+Engineer	472	4.0	4.0	3.9	3.6	3.6	4.0	3.7
Arista Networks	Software+Engineer	115	4.0	4.2	4.2	3.7	3.7	3.2	3.9
Philips	Software+Engineer	88	3.4	3.3	3.9	2.8	2.8	3.3	3.0
AMD	Software+Engineer	78	3.0	3.2	3.7	2.4	2.4	3.2	2.6
McKesson	Software+Engineer	46	3.4	3.2	3.5	2.5	2.5	3.2	2.9
Teradata	Software+Engineer	529	3.4	3.3	3.6	2.7	2.7	3.1	3.0
Adobe	Software+Engineer	152	4.1	4.4	4.4	3.6	3.6	4.2	3.9
Visa Inc.	Software+Engineer	1009	2.9	2.8	3.3	2.4	2.4	3.3	2.7
SAP	Software+Engineer	181	3.9	4.0	4.2	3.3	3.3	3.6	3.6
IGATE	Software+Engineer	1676	3.0	3.0	3.0	2.5	2.5	2.6	3.0
LexisNexis Legal & Professional	Software+Engineer	812	3.1	3.1	3.5	2.6	2.6	3.2	2.6
MITRE	Software+Engineer	40	3.7	3.0	4.6	2.5	2.5	3.8	3.1
NCR	Software+Engineer	114	3.3	3.3	3.6	3.0	3.0	3.2	3.1
Amazon Lab126	Software+Engineer	161	2.9	2.6	2.7	2.4	2.4	3.2	2.9
Autodesk	Software+Engineer	697	3.9	3.9	4.0	3.4	3.4	4.0	3.4
Red Hat	Software+Engineer	67	4.1	4.3	4.0	3.6	3.6	3.2	3.8
Mentor Graphics	Software+Engineer	358	3.8	3.9	4.1	3.3	3.3	3.7	3.1
Maverick Software Consulting	Software+Engineer	30	4.6	4.7	4.6	4.6	4.6	3.9	4.8
MicroStrategy	Software+Engineer	542	2.4	2.4	3.2	1.9	1.9	2.8	2.4
VMware	Software+Engineer	1922	3.9	3.9	3.7	3.3	3.3	4.0	3.5
RealNetworks	Software+Engineer	225	2.5	2.7	3.8	1.9	1.9	3.1	2.6
Sony Electronics	Software+Engineer	525	3.3	3.3	3.3	2.8	2.8	3.4	2.7
Zillow	Software+Engineer	334	4.2	4.4	4.2	4.2	4.2	4.1	3.9
SRA International	Software+Engineer	37	3.4	3.0	3.8	2.5	2.5	2.7	2.9
Walmart eCommerce	Software+Engineer	292	3.3	3.2	3.5	2.9	2.9	3.5	3.2
KLA-Tencor	Software+Engineer	476	3.4	3.2	2.9	3.0	3.0	3.3	3.0
Xilinx	Software+Engineer	452	3.4	3.0	3.4	3.0	3.0	3.6	3.0
Riot Games	Software+Engineer	236	4.3	4.5	3.7	3.8	3.8	4.2	4.1
Comcast	Software+Engineer	34	3.5	3.2	3.5	2.9	2.9	3.7	3.3
Salesforce	Software+Engineer	1561	4.1	4.1	3.7	3.6	3.6	4.2	3.9
Wayfair	Software+Engineer	411	3.2	3.7	3.6	3.0	3.0	2.5	3.3
ADP	Software+Engineer	38		3.3	3.2	2.2	2.2	3.3	2.8
Agilent Technologies	Software+Engineer	647	3.4	3.6	3.9	3.0	3.0	3.3	2.9
Telenav	Software+Engineer	136	3.4	3.5	3.4	3.1	3.1	3.4	3.4
Charles Schwab	Software+Engineer	1178	3.4	3.7	3.6	3.0	3.0	3.1	3.1
AT&T	Software+Engineer	33	3.1	2.8	4.4	2.8	2.8	3.2	2.9
PTC	Software+Engineer	47	3.0	3.2	3.7	2.3	2.3	2.9	2.4
St. Jude Medical	Software+Engineer	35	2.8	2.9	3.7	2.3	2.3	2.5	2.6
Nuance	Software+Engineer	54	3.0	2.8	3.7	2.3	2.3	3.7	3.1
Box	Software+Engineer	29	4.4	4.5	4.0	4.1	4.1	4.4	4.2
Groupon	Software+Engineer	39	3.3	3.3	3.4	2.6	2.6	3.6	3.4
Dropbox	Software+Engineer	153	4.5	4.4	4.1	4.1	4.1	4.5	4.3
Boston Scientific	Software+Engineer	609	3.7	3.6	3.3	3.3	3.3	3.7	3.3
E*TRADE Financial	Software+Engineer	436	2.9	2.8	3.1	2.6	2.6	3.0	2.7
PNC Financial Services Group	Software+Engineer	2116	3.3	3.6	3.5	3.0	3.0	2.9	3.2
Kronos Incorporated	Software+Engineer	46	3.6	4.2	4.2	3.9	3.9	3.9	3.5
Lexmark International	Software+Engineer	368	3.2	3.4	4.0	2.8	2.8	3.6	2.8
EchoStar	Software+Engineer	207	2.9	2.8	3.3	2.6	2.6	2.6	2.9
Square	Software+Engineer	29	4.7	4.7	4.4	4.5	4.5	4.3	4.5
Workday	Software+Engineer	283	4.0	4.2	3.8	3.9	3.9	3.6	3.7
Medtronic	Software+Engineer	1126	3.7	3.8	3.4	3.1	3.1	3.8	3.4
Hubspot	Software+Engineer	238	4.4	4.5	4.0	4.3	4.3	4.2	4.3
McAfee	Software+Engineer	123	3.7	3.7	4.1	3.2	3.2	3.2	3.4
YP	Software+Engineer	29	3.6	3.0	3.9	3.1	3.1	3.5	3.0
ViaSat	Software+Engineer	166	3.4	3.8	3.6	3.0	3.0	3.5	3.1
Quicken Loans	Software+Engineer	632	3.6	4.1	2.5	3.5	3.5	3.8	3.7
Bank of America	Software+Engineer	60	3.8	4.0	4.1	3.4	3.4	4.0	3.1
Blizzard Entertainment	Software+Engineer	297	3.9	4.3	3.8	3.4	3.4	3.4	3.3
Active Network	Software+Engineer	33	1.9	2.5	2.2	1.4	1.4	2.7	2.0
Eastman Kodak	Software+Engineer	478	2.9	3.1	3.3	2.4	2.4	3.2	2.4
Fiserv	Software+Engineer	1251	3.0	2.9	3.2	2.6	2.6	2.8	2.8
Booz Allen Hamilton	Software+Engineer	2804	3.4	3.5	3.5	3.0	3.0	3.2	3.4
General Dynamics Information Technology	Software+Engineer	761	3.0	2.8	3.1	2.5	2.5	3.1	2.9
TripAdvisor	Software+Engineer	25	3.6	3.7	3.8	3.1	3.1	4.2	3.4
Infor	Software+Engineer	49	3.5	3.4	4.0	3.1	3.1	3.3	3.2
Caradigm	Software+Engineer	26	3.6	3.3	3.5	3.1	3.1	3.5	3.0
Rovi	Software+Engineer	35	3.3	3.3	4.0	2.8	2.8	4.2	3.3
Cognizant Technology Solutions	Software+Engineer	9576	3.5	3.5	3.3	3.0	3.0	3.0	3.4
Tech Mahindra	Software+Engineer	551	2.8	3.0	3.1	2.4	2.4	2.2	2.8
EPAM	Software+Engineer	330	4.0	3.7	3.8	3.6	3.6	3.6	3.8
Western Digital	Software+Engineer	438	3.2	3.1	3.2	2.6	2.6	3.1	2.8
Avid Technology	Software+Engineer	32	3.1	3.1	2.9	2.7	2.7	3.1	2.7
eBay Enterprise	Software+Engineer	22	3.0	2.9	3.6	1.9	1.9	4.1	2.4
Nextag	Software+Engineer	33	2.8	2.4	2.7	2.1	2.1	3.1	2.2
Asynchrony Labs	Software+Engineer	47	4.8	4.9	4.9	4.6	4.6	4.0	4.3
Siemens Medical Solutions Health Services	Software+Engineer	308	3.4	3.1	3.5	2.6	2.6	3.5	3.0
LSI	Software+Engineer	43	3.2	3.4	3.2	2.7	2.7	3.7	3.2
Jack Henry & Associates	Software+Engineer	246	3.7	3.7	3.8	3.2	3.2	3.7	3.2
EFI	Software+Engineer	62	2.6	2.5	3.4	2.2	2.2	2.5	2.4
Textron Systems	Software+Engineer	116	3.1	3.0	3.2	2.7	2.7	3.4	3.2
CME Group	Software+Engineer	24	3.6	3.4	3.5	3.2	3.2	3.7	3.5
Airbnb	Software+Engineer	260	4.6	4.7	3.9	4.3	4.3	4.3	4.3
MphasiS	Software+Engineer	383	2.9	2.9	3.5	2.5	2.5	2.3	2.7
Cornerstone OnDemand	Software+Engineer	512	4.4	4.5	4.2	4.2	4.2	4.1	4.2
Schlumberger	Software+Engineer	45	3.5	3.1	3.6	2.6	2.6	3.9	3.5
Rockwell Automation	Software+Engineer	519	3.7	3.6	3.6	3.1	3.1	3.4	3.2
FICO	Software+Engineer	388	3.2	3.1	3.3	2.8	2.8	3.1	3.2
DIRECTV	Software+Engineer	891	3.6	3.6	3.2	3.1	3.1	3.7	3.4
Siemens PLM Software	Software+Engineer	255	3.8	3.8	4.0	3.2	3.2	3.4	3.1
Informatica	Software+Engineer	108	3.8	4.0	4.1	3.8	3.8	3.6	3.7
CareerBuilder	Software+Engineer	22	4.2	4.7	4.9	3.8	3.8	3.8	4.5
Amdocs	Software+Engineer	1653	3.3	3.6	3.0	2.8	2.8	3.2	3.1
Thales	Software+Engineer	45	2.8	2.6	3.2	2.4	2.4	3.2	3.2
REI Systems	Software+Engineer	100	3.5	3.7	3.2	3.4	3.4	3.6	3.4
Unisys	Software+Engineer	62	3.2	3.2	3.9	2.6	2.6	3.1	3.0
Vertafore	Software+Engineer	247	3.1	3.1	3.5	2.6	2.6	3.3	2.7
Splunk	Software+Engineer	113	3.9	4.0	3.7	3.7	3.7	4.1	3.6
Polycom	Software+Engineer	32	3.6	3.5	3.6	3.4	3.4	3.6	3.3
Verisign	Software+Engineer	240	3.9	3.9	3.9	3.4	3.4	4.0	3.2
AppDynamics	Software+Engineer	109	4.5	4.4	4.0	4.4	4.4	4.4	4.4
FireEye	Software+Engineer	178	4.0	3.8	3.8	3.7	3.7	4.0	3.9
Walt Disney Company	Software+Engineer	21	3.8	4.2	3.6	3.1	3.1	3.7	3.3
GoDaddy	Software+Engineer	489	3.6	3.6	3.5	3.2	3.2	4.0	3.4
Novell	Software+Engineer	77	3.4	3.5	4.3	2.8	2.8	3.6	2.8
MICROS Systems	Software+Engineer	26	2.0	2.2	2.2	1.4	1.4	2.8	2.3
Siemens	Software+Engineer	74	3.3	3.3	3.5	2.3	2.3	2.9	3.3
Schneider Electric	Software+Engineer	54	3.5	3.7	4.1	3.2	3.2	3.5	3.1
Sony PlayStation Network	Software+Engineer	71	3.6	3.7	3.8	3.2	3.2	3.7	3.4
Audible	Software+Engineer	18	4.1	4.5	4.1	3.3	3.3	4.1	4.1
TiVo	Software+Engineer	22	3.7	3.2	4.6	2.2	2.2	3.7	3.9
MongoDB	Software+Engineer	103	4.0	3.9	3.7	3.5	3.5	4.1	3.9
CareFusion	Software+Engineer	511	3.1	2.9	3.1	2.6	2.6	3.4	2.8
J.P. Morgan	Software+Engineer	25	3.0	2.5	3.0	2.1	2.1	2.9	2.6
Epic Systems Corporation (Wisconsin)	Software+Engineer	958	3.6	3.8	2.7	3.3	3.3	4.2	3.6
Riverbed Technology	Software+Engineer	629	3.4	3.6	3.8	3.1	3.1	3.6	3.1
HARMAN	Software+Engineer	58	3.1	2.9	3.0	2.4	2.4	2.9	3.0
New York Times	Software+Engineer	203	3.7	3.9	3.9	2.8	2.8	3.4	3.1
Ancestry.com	Software+Engineer	131	3.8	3.8	4.4	3.3	3.3	3.7	3.3
USAA	Software+Engineer	21		5.0	3.4	3.8	3.8	4.2	4.4
Pearson	Software+Engineer	18	3.5	3.6	4.1	3.0	3.0	3.2	3.3
Capital One	Software+Engineer	20	3.8	3.8	4.0	3.3	3.3	3.5	3.5
CCC Information Services	Software+Engineer	134	3.1	3.1	3.3	2.9	2.9	3.6	2.8
DST Systems	Software+Engineer	24	3.7	3.9	3.4	3.6	3.6	3.9	3.9
Freescale Semiconductor	Software+Engineer	768	3.6	3.5	3.6	3.2	3.2	3.6	3.1
CBS Interactive	Software+Engineer	240	3.3	3.3	3.5	2.9	2.9	2.8	3.0
Pinterest	Software+Engineer	38	4.1	4.1	4.2	3.5	3.5	4.0	4.2
Tableau Software	Software+Engineer	181	4.3	4.6	4.0	4.2	4.2	3.7	4.1
HomeAway	Software+Engineer	225	4.1	4.2	4.0	3.8	3.8	4.1	3.8
Teradyne	Software+Engineer	20	2.8	2.4	3.8	2.8	2.8	2.8	2.1
Micron Technology	Software+Engineer	665	3.4	3.3	3.2	2.9	2.9	3.4	3.2
Intelligent Software Solutions	Software+Engineer	19	3.1	3.4	3.8	2.5	2.5	4.0	2.5
UnitedHealth Group	Software+Engineer	3523	3.0	3.0	3.1	2.5	2.5	2.9	2.9
Charles River Development	Software+Engineer	113	3.7	3.2	3.5	3.4	3.4	3.9	3.4
Intermountain Healthcare	Software+Engineer	305	3.9	4.2	3.8	3.5	3.5	3.4	3.6
S&P Capital IQ	Software+Engineer	408	3.3	3.2	3.9	2.9	2.9	3.4	2.9
TradeStation	Software+Engineer	55	3.1	3.0	3.6	2.5	2.5	3.6	2.8
Exelis	Software+Engineer	17	2.5	2.5	3.9	1.6	1.6	2.4	2.2
Vecna Technologies	Software+Engineer	96	2.5	2.7	3.7	2.1	2.1	2.9	2.3
Spirent Communications	Software+Engineer	136	3.0	2.9	3.3	2.3	2.3	3.2	2.7
Rearden Commerce	Software+Engineer	136	2.3	2.4	2.9	2.1	2.1	3.0	2.4
Samsung Research America	Software+Engineer	102	3.0	2.6	3.0	2.5	2.5	3.9	2.9
General Motors	Software+Engineer	18	2.7	2.2	3.0	1.9	1.9	3.3	2.5
Leidos	Software+Engineer	16	3.2	2.8	3.7	2.6	2.6	3.5	3.0
Lithium Technologies	Software+Engineer	156	3.9	3.9	4.1	3.7	3.7	3.8	3.7
ARRIS	Software+Engineer	23	3.6	3.6	3.7	3.3	3.3	3.1	3.2
Mozilla	Software+Engineer	17	3.3	4.0	3.7	2.8	2.8	3.9	3.2
StubHub	Software+Engineer	204	2.9	2.7	3.5	2.3	2.3	3.5	2.8
Ciena	Software+Engineer	44	3.3	3.3	3.8	2.7	2.7	3.2	2.7
MobiTV	Software+Engineer	70	3.4	3.7	4.0	3.1	3.1	3.6	3.0
Good Technology	Software+Engineer	21	2.1	2.5	2.5	2.1	2.1	3.2	2.1
Marvell Technology	Software+Engineer	485	3.2	2.8	3.2	2.6	2.6	2.9	3.0
HERE	Software+Engineer	20	3.5	3.8	4.0	3.7	3.7	3.3	3.4
L&T Infotech	Software+Engineer	343	3.2	3.1	3.3	2.6	2.6	2.4	3.1
Evernote	Software+Engineer	93	3.9	4.0	4.2	3.3	3.3	4.0	3.7
Blackbaud	Software+Engineer	15	3.6	3.6	4.1	2.9	2.9	3.2	3.0
Risk Management Solutions	Software+Engineer	239	2.8	2.8	3.4	2.2	2.2	3.4	2.8
Applied Predictive Technologies	Software+Engineer	98	4.5	4.8	3.8	4.7	4.7	4.7	4.7
Volt Information Sciences	Software+Engineer	342	3.0	2.8	3.1	2.7	2.7	2.4	2.7
Goldman Sachs	Software+Engineer	32	3.8	3.7	3.2	3.4	3.4	3.8	4.0
Nortel Networks	Software+Engineer	478	3.3	3.7	3.7	2.5	2.5	3.8	3.6
UBS	Software+Engineer	25	3.2	3.1	3.6	2.7	2.7	3.2	3.0
Continental	Software+Engineer	68	3.8	4.0	3.9	3.4	3.4	3.5	3.7
Apollo Education Group	Software+Engineer	478	2.6	2.7	3.4	1.9	1.9	3.4	2.3
JDSU	Software+Engineer	23	2.6	2.2	3.1	2.4	2.4	3.2	2.2
Syntel	Software+Engineer	187	2.7	2.7	2.5	2.1	2.1	2.1	2.8
Sears	Software+Engineer	16	2.5	2.7	2.8	1.9	1.9	2.6	2.4
Trading Technologies	Software+Engineer	73	2.8	3.2	3.5	2.3	2.3	3.2	2.4
TEKsystems	Software+Engineer	1168	3.4	3.6	3.1	3.3	3.3	3.0	3.5
Ariba	Software+Engineer	27	2.3	2.9	2.7	2.6	2.6	3.3	2.7
Concur	Software+Engineer	342	3.9	4.1	3.9	3.6	3.6	3.6	3.6
Yelp	Software+Engineer	519	3.6	4.0	3.9	3.5	3.5	3.3	3.5
LiveRamp	Software+Engineer	35	4.6	4.7	3.7	4.4	4.4	4.3	4.4
Palantir Technologies	Software+Engineer	175	4.4	4.5	3.1	4.1	4.1	4.0	4.4
Cobalt	Software+Engineer	18	3.9	4.0	4.1	3.6	3.6	3.4	3.5
Websense	Software+Engineer	23	2.0	2.1	2.7	1.9	1.9	2.6	2.2
John Deere	Software+Engineer	34	3.9	4.3	4.1	3.2	3.2	3.5	3.6
Southwest Airlines	Software+Engineer	13	4.1	3.8	4.0	2.8	2.8	4.2	3.5
Fujitsu Network Communications	Software+Engineer	106	3.5	3.5	4.0	3.0	3.0	3.8	3.0
Esri	Software+Engineer	17	3.6	3.6	4.4	3.1	3.1	3.3	3.1
Cloudera	Software+Engineer	93	4.5	4.4	3.8	4.4	4.4	4.3	4.4
Quantcast	Software+Engineer	127	4.1	4.3	4.0	3.9	3.9	3.6	3.8
JDA Software	Software+Engineer	486	3.3	3.3	3.6	2.8	2.8	3.6	3.0
Tata Consultancy Services (North America)	Software+Engineer	225	2.9	2.9	2.8	2.5	2.5	2.6	2.9
Ultimate Software	Software+Engineer	364	4.6	4.7	4.6	4.4	4.4	4.7	4.3
Getty Images	Software+Engineer	185	3.2	3.5	3.8	2.7	2.7	3.4	2.7
